SNP PROB LOG_PO Q_VALUE ALPHA FST SELECTION
1-151313 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-154071 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-154617 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-155273 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-155568 0.00030003 -3.5227 0.9776 -4e-04 0.00476 balancing
1-156795 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-157305 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-157708 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-158529 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-159690 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-160078 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-160104 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-161084 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-161162 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-163145 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-163391 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-165510 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-165511 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-166294 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-166383 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-166610 0.00030003 -3.5227 0.9776 -2e-04 0.00476 balancing
1-166671 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-166681 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-166784 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-168811 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-168836 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-168838 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-169200 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-169262 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-169887 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-170395 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-170629 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-170700 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-172234 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-173770 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-174428 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-174506 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-175808 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-176235 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-176240 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-176267 0.00020002 -3.6988 0.9926 -3e-04 0.00476 balancing
1-176820 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-179549 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-179923 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-182981 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-183532 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-183819 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-183958 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-184315 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-184670 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-185176 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-185774 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-187490 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-187516 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-187762 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-187966 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-188098 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-189599 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-190671 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-192259 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-193599 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-193732 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-193754 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-193795 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-195180 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-195285 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-196274 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-196355 0.00030003 -3.5227 0.9776 -3e-04 0.00476 balancing
1-199292 0.00010001 -3.9999 0.9969 -3e-04 0.00476 balancing
1-200090 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-202985 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-203006 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-203025 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-203412 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-205003 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-205359 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-205507 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-205690 0.00030003 -3.5227 0.9776 -7e-04 0.004759 balancing
1-207578 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-207683 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-208436 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-208711 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-209877 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-210036 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-211156 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-212301 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-213144 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-213166 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-215154 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-216103 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-217256 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-218196 0.00020002 -3.6988 0.9926 -1e-04 0.004761 balancing
1-218507 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-218691 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-219007 0.00020002 -3.6988 0.9926 -1e-04 0.004761 balancing
1-221060 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-221131 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-222888 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-223055 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-223860 0.00020002 -3.6988 0.9926 -1e-04 0.004761 balancing
1-224471 0.00020002 -3.6988 0.9926 -4e-04 0.00476 balancing
1-225415 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-225501 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-226074 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-226687 0.00030003 -3.5227 0.9776 -4e-04 0.00476 balancing
1-227516 0.00020002 -3.6988 0.9926 -1e-04 0.004761 balancing
1-227686 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-227842 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-228886 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-229535 0.00020002 -3.6988 0.9926 -3e-04 0.00476 balancing
1-230143 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-231659 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-232765 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-233401 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-233622 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-233771 0.00030003 -3.5227 0.9776 -3e-04 0.00476 balancing
1-233787 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-235461 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-235486 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-238349 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-239162 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-239803 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-240139 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-240181 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-241044 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-241110 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-241156 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-241162 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-241824 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-242110 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-242944 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-243018 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-244072 0.00030003 -3.5227 0.9776 -1e-04 0.004761 balancing
1-244685 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-245126 0.00030003 -3.5227 0.9776 -4e-04 0.004759 balancing
1-245759 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-248228 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-248713 0.00040004 -3.3977 0.9304 -1e-04 0.00476 balancing
1-249655 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-250376 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-250596 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-250626 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-250650 0.00020002 -3.6988 0.9926 -1e-04 0.004761 balancing
1-251433 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-252194 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-252502 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-253021 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-253068 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-253373 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-253404 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-253783 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-254329 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-254791 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-255859 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-255865 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-260251 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-260314 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-260346 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-260516 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-261252 0.00020002 -3.6988 0.9926 -4e-04 0.00476 balancing
1-262297 0.00030003 -3.5227 0.9776 -3e-04 0.00476 balancing
1-263739 0.00040004 -3.3977 0.9304 -1e-04 0.00476 balancing
1-264178 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-266214 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-267352 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-267763 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-267807 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-270189 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-271281 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-271322 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-271630 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-272352 0.00040004 -3.3977 0.9304 -1e-04 0.00476 balancing
1-272373 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-272813 0.00030003 -3.5227 0.9776 -2e-04 0.00476 balancing
1-272876 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-273130 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-273641 0.00020002 -3.6988 0.9926 -3e-04 0.00476 balancing
1-274670 0.00030003 -3.5227 0.9776 -2e-04 0.00476 balancing
1-275072 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-275509 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-275595 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-275777 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-275875 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-276694 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-276750 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-277435 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-277471 0.00040004 -3.3977 0.9304 -2e-04 0.00476 balancing
1-277773 0.00030003 -3.5227 0.9776 -4e-04 0.00476 balancing
1-278129 0.00010001 -3.9999 0.9969 -3e-04 0.00476 balancing
1-278162 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-278761 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-281802 0.00020002 -3.6988 0.9926 -3e-04 0.00476 balancing
1-283747 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-283758 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-285007 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-285714 0.00030003 -3.5227 0.9776 -1e-04 0.004761 balancing
1-285877 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-286433 0.00040004 -3.3977 0.9304 -2e-04 0.00476 balancing
1-287367 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-287664 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-288027 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-289093 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-289668 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-290313 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-290650 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-290693 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-291529 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-291615 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-291710 0.00050005 -3.3008 0.8534 -5e-04 0.004759 balancing
1-292661 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-293140 0.00030003 -3.5227 0.9776 -1e-04 0.00476 balancing
1-293487 0.00020002 -3.6988 0.9926 -3e-04 0.00476 balancing
1-295631 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-296412 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-297492 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-301031 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-301807 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-301921 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-302218 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-302528 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-302663 0.00020002 -3.6988 0.9926 -1e-04 0.004761 balancing
1-304341 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-304781 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-305046 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-305079 0.00030003 -3.5227 0.9776 -2e-04 0.00476 balancing
1-306375 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-310626 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-311009 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-311563 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-316335 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-316552 0.00030003 -3.5227 0.9776 -3e-04 0.00476 balancing
1-316922 0.00010001 -3.9999 0.9969 -2e-04 0.00476 balancing
1-317155 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-317491 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-318069 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-318169 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-318649 0.00030003 -3.5227 0.9776 -3e-04 0.00476 balancing
1-319771 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-320177 0.00020002 -3.6988 0.9926 -2e-04 0.00476 balancing
1-321041 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-321693 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-322813 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
1-323448 0.00010001 -3.9999 0.9969 -1e-04 0.00476 balancing
1-325283 0.00040004 -3.3977 0.9304 -1e-04 0.00476 balancing
1-325662 0.00020002 -3.6988 0.9926 -1e-04 0.00476 balancing
