SNP PROB LOG_PO Q_VALUE ALPHA FST SELECTION
1-36972 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-37004 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-37005 0 -1000 0.9981 0 0.00476 neutral
1-37079 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-37822 0 -1000 0.9981 0 0.00476 neutral
1-38149 0 -1000 0.9981 0 0.00476 neutral
1-38187 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-39109 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-39123 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-39187 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-39317 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-39318 0 -1000 0.9981 0 0.00476 neutral
1-39587 0 -1000 0.9981 0 0.00476 neutral
1-39955 0 -1000 0.9981 0 0.00476 neutral
1-40188 0 -1000 0.9981 0 0.00476 neutral
1-40367 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-41617 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-41706 0.00030003 -3.5227 0.9776 1e-04 0.004762 neutral
1-41726 0 -1000 0.9981 0 0.00476 neutral
1-41733 0.00050005 -3.3008 0.8534 3e-04 0.004763 neutral
1-42019 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-42176 0 -1000 0.9981 0 0.00476 neutral
1-44161 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-44191 0 -1000 0.9981 0 0.00476 neutral
1-45514 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-45738 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-45783 0 -1000 0.9981 0 0.00476 neutral
1-46832 0 -1000 0.9981 0 0.00476 neutral
1-47849 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-47863 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-48458 0 -1000 0.9981 0 0.00476 neutral
1-48493 0 -1000 0.9981 0 0.00476 neutral
1-49367 0 -1000 0.9981 0 0.00476 neutral
1-49944 0 -1000 0.9981 0 0.00476 neutral
1-50461 0 -1000 0.9981 0 0.00476 neutral
1-50505 0 -1000 0.9981 0 0.00476 neutral
1-50577 0 -1000 0.9981 0 0.00476 neutral
1-50713 0 -1000 0.9981 0 0.00476 neutral
1-52941 0 -1000 0.9981 0 0.00476 neutral
1-53666 0 -1000 0.9981 0 0.00476 neutral
1-55232 0 -1000 0.9981 0 0.00476 neutral
1-55309 0 -1000 0.9981 0 0.00476 neutral
1-55856 0 -1000 0.9981 0 0.00476 neutral
1-56191 0.00030003 -3.5227 0.9776 1e-04 0.004762 neutral
1-56352 0 -1000 0.9981 0 0.00476 neutral
1-56366 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-57464 0 -1000 0.9981 0 0.00476 neutral
1-57951 0.00050005 -3.3008 0.8534 2e-04 0.004762 neutral
1-58119 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-58437 0 -1000 0.9981 0 0.00476 neutral
1-58443 0 -1000 0.9981 0 0.00476 neutral
1-58986 0.00020002 -3.6988 0.9926 1e-04 0.004762 neutral
1-59444 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-59647 0 -1000 0.9981 0 0.00476 neutral
1-59691 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-60105 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-60113 0 -1000 0.9981 0 0.00476 neutral
1-60178 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-60196 0 -1000 0.9981 0 0.00476 neutral
1-60508 0 -1000 0.9981 0 0.00476 neutral
1-61143 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-61873 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-61879 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-62480 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-62741 0.00010001 -3.9999 0.9969 2e-04 0.004762 neutral
1-62774 0 -1000 0.9981 0 0.00476 neutral
1-63622 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-63628 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-64110 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-64691 0 -1000 0.9981 0 0.00476 neutral
1-65071 0 -1000 0.9981 0 0.00476 neutral
1-65370 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-65384 0 -1000 0.9981 0 0.00476 neutral
1-65415 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-66579 0 -1000 0.9981 0 0.00476 neutral
1-66641 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-66642 0 -1000 0.9981 0 0.00476 neutral
1-66659 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-66776 0.00020002 -3.6988 0.9926 1e-04 0.004762 neutral
1-67625 0 -1000 0.9981 0 0.00476 neutral
1-68601 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-69984 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-69986 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-71132 0 -1000 0.9981 0 0.00476 neutral
1-71179 0.00010001 -3.9999 0.9969 1e-04 0.004762 neutral
1-71181 0 -1000 0.9981 0 0.00476 neutral
1-71344 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-71652 0.00040004 -3.3977 0.9304 2e-04 0.004762 neutral
1-71655 0 -1000 0.9981 0 0.00476 neutral
1-71672 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-73617 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-74846 0 -1000 0.9981 0 0.00476 neutral
1-74857 0 -1000 0.9981 0 0.00476 neutral
1-75205 0 -1000 0.9981 0 0.00476 neutral
1-78155 0 -1000 0.9981 0 0.00476 neutral
1-78167 0 -1000 0.9981 0 0.00476 neutral
1-78206 0.00030003 -3.5227 0.9776 2e-04 0.004764 neutral
1-80133 0 -1000 0.9981 0 0.00476 neutral
1-80137 0.00020002 -3.6988 0.9926 2e-04 0.004762 neutral
1-80388 0.00030003 -3.5227 0.9776 0 0.004761 neutral
1-80459 0 -1000 0.9981 0 0.00476 neutral
1-80460 0 -1000 0.9981 0 0.00476 neutral
1-80641 0.00010001 -3.9999 0.9969 1e-04 0.004762 neutral
1-80767 0 -1000 0.9981 0 0.00476 neutral
1-80769 0.00010001 -3.9999 0.9969 1e-04 0.004762 neutral
1-82103 0.00020002 -3.6988 0.9926 2e-04 0.004762 neutral
1-83026 0.00030003 -3.5227 0.9776 0 0.004761 neutral
1-83776 0 -1000 0.9981 0 0.00476 neutral
1-83815 0.00010001 -3.9999 0.9969 1e-04 0.004762 neutral
1-87642 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-88000 0 -1000 0.9981 0 0.00476 neutral
1-89272 0.00030003 -3.5227 0.9776 0 0.00476 neutral
1-90179 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-90428 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-90550 0 -1000 0.9981 0 0.00476 neutral
1-90668 0.00030003 -3.5227 0.9776 4e-04 0.004764 neutral
1-90774 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-90789 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-90801 0.00030003 -3.5227 0.9776 1e-04 0.004761 neutral
1-90810 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-91075 0 -1000 0.9981 0 0.00476 neutral
1-91150 0 -1000 0.9981 0 0.00476 neutral
1-91160 0 -1000 0.9981 0 0.00476 neutral
1-91526 0 -1000 0.9981 0 0.00476 neutral
1-92360 0 -1000 0.9981 0 0.00476 neutral
1-92362 0 -1000 0.9981 0 0.00476 neutral
1-92783 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-92969 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-93600 0 -1000 0.9981 0 0.00476 neutral
1-93601 0 -1000 0.9981 0 0.00476 neutral
1-93986 0 -1000 0.9981 0 0.00476 neutral
1-93988 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-94004 0.00020002 -3.6988 0.9926 2e-04 0.004763 neutral
1-94006 0.00020002 -3.6988 0.9926 3e-04 0.004764 neutral
1-94040 0 -1000 0.9981 0 0.00476 neutral
1-94405 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-94527 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-94528 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-94735 0 -1000 0.9981 0 0.00476 neutral
1-94830 0 -1000 0.9981 0 0.00476 neutral
1-94879 0 -1000 0.9981 0 0.00476 neutral
1-94908 0 -1000 0.9981 0 0.00476 neutral
1-96247 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-96265 0 -1000 0.9981 0 0.00476 neutral
1-96293 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-96566 0.00030003 -3.5227 0.9776 0 0.004761 neutral
1-96952 0 -1000 0.9981 0 0.00476 neutral
1-97304 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-97306 0 -1000 0.9981 0 0.00476 neutral
1-97334 0 -1000 0.9981 0 0.00476 neutral
1-97501 0 -1000 0.9981 0 0.00476 neutral
1-97538 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-97540 0 -1000 0.9981 0 0.00476 neutral
1-97839 0 -1000 0.9981 0 0.00476 neutral
1-97871 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-98168 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-98626 0 -1000 0.9981 0 0.00476 neutral
1-98657 0 -1000 0.9981 0 0.00476 neutral
1-99888 0 -1000 0.9981 0 0.00476 neutral
1-99963 0 -1000 0.9981 0 0.00476 neutral
1-100095 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-100162 0.00010001 -3.9999 0.9969 1e-04 0.004762 neutral
1-100361 0 -1000 0.9981 0 0.00476 neutral
1-100381 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-100973 0.00020002 -3.6988 0.9926 2e-04 0.004762 neutral
1-101009 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-101247 0 -1000 0.9981 0 0.00476 neutral
1-101270 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-101304 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-102113 0 -1000 0.9981 0 0.00476 neutral
1-102137 0.00040004 -3.3977 0.9304 6e-04 0.004767 neutral
1-102541 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-102803 0 -1000 0.9981 0 0.00476 neutral
1-102848 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-103122 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-103123 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-103141 0 -1000 0.9981 0 0.00476 neutral
1-103394 0 -1000 0.9981 0 0.00476 neutral
1-103410 0 -1000 0.9981 0 0.00476 neutral
1-103708 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-104570 0 -1000 0.9981 0 0.00476 neutral
1-104618 0.00030003 -3.5227 0.9776 1e-04 0.004762 neutral
1-104966 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-105090 0 -1000 0.9981 0 0.00476 neutral
1-105143 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-105788 0 -1000 0.9981 0 0.00476 neutral
1-106544 0.00020002 -3.6988 0.9926 1e-04 0.004762 neutral
1-106910 0 -1000 0.9981 0 0.00476 neutral
1-106978 0 -1000 0.9981 0 0.00476 neutral
1-108008 0 -1000 0.9981 0 0.00476 neutral
1-108326 0 -1000 0.9981 0 0.00476 neutral
1-108589 0 -1000 0.9981 0 0.00476 neutral
1-108936 0 -1000 0.9981 0 0.00476 neutral
1-109630 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-109947 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-109979 0 -1000 0.9981 0 0.00476 neutral
1-110205 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-110485 0.00020002 -3.6988 0.9926 2e-04 0.004762 neutral
1-111046 0 -1000 0.9981 0 0.00476 neutral
1-111790 0.0018002 -2.7439 0.4483 0.0026 0.004792 neutral
1-111865 0.0014001 -2.8532 0.5224 0.0027 0.004801 neutral
1-112109 0 -1000 0.9981 0 0.00476 neutral
1-112111 0 -1000 0.9981 0 0.00476 neutral
1-112261 0 -1000 0.9981 0 0.00476 neutral
1-112317 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-112604 0.00030003 -3.5227 0.9776 4e-04 0.004764 neutral
1-112740 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-114046 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-114048 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-114650 0.00010001 -3.9999 0.9969 2e-04 0.004764 neutral
1-115238 0 -1000 0.9981 0 0.00476 neutral
1-115738 0 -1000 0.9981 0 0.00476 neutral
1-116001 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-117388 0 -1000 0.9981 0 0.00476 neutral
1-117557 0 -1000 0.9981 0 0.00476 neutral
1-117595 0 -1000 0.9981 0 0.00476 neutral
1-118052 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-118205 0 -1000 0.9981 0 0.00476 neutral
1-118272 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-118378 0 -1000 0.9981 0 0.00476 neutral
1-118861 0 -1000 0.9981 0 0.00476 neutral
1-119182 0 -1000 0.9981 0 0.00476 neutral
1-119783 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-120969 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-122341 0 -1000 0.9981 0 0.00476 neutral
1-123927 0 -1000 0.9981 0 0.00476 neutral
1-123998 0 -1000 0.9981 0 0.00476 neutral
1-124012 0 -1000 0.9981 0 0.00476 neutral
1-124052 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-125004 0.00010001 -3.9999 0.9969 1e-04 0.004762 neutral
1-125066 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-125793 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-125969 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-125980 0 -1000 0.9981 0 0.00476 neutral
1-127026 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-127654 0 -1000 0.9981 0 0.00476 neutral
1-127928 0.00020002 -3.6988 0.9926 1e-04 0.004763 neutral
1-127975 0 -1000 0.9981 0 0.00476 neutral
1-128024 0 -1000 0.9981 0 0.00476 neutral
1-128027 0 -1000 0.9981 0 0.00476 neutral
1-128717 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-128741 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-129012 0 -1000 0.9981 0 0.00476 neutral
1-129037 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-129439 0 -1000 0.9981 0 0.00476 neutral
1-130161 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-130204 0 -1000 0.9981 0 0.00476 neutral
1-130211 0 -1000 0.9981 0 0.00476 neutral
1-130226 0 -1000 0.9981 0 0.00476 neutral
1-130497 0 -1000 0.9981 0 0.00476 neutral
1-130611 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-130634 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-130651 0 -1000 0.9981 0 0.00476 neutral
1-130989 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-131633 0.0016002 -2.7951 0.4717 0.0032 0.004816 neutral
1-131968 0 -1000 0.9981 0 0.00476 neutral
1-132066 0 -1000 0.9981 0 0.00476 neutral
1-132729 0 -1000 0.9981 0 0.00476 neutral
1-132998 0.00030003 -3.5227 0.9776 2e-04 0.004762 neutral
1-134092 0 -1000 0.9981 0 0.00476 neutral
1-136140 0.00030003 -3.5227 0.9776 0 0.00476 neutral
1-136257 0 -1000 0.9981 0 0.00476 neutral
1-136522 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-136734 0 -1000 0.9981 0 0.00476 neutral
1-137086 0 -1000 0.9981 0 0.00476 neutral
1-137088 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-137583 0 -1000 0.9981 0 0.00476 neutral
1-138087 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-138088 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-138114 0 -1000 0.9981 0 0.00476 neutral
1-138197 0 -1000 0.9981 0 0.00476 neutral
1-138900 0 -1000 0.9981 0 0.00476 neutral
1-139109 0.00020002 -3.6988 0.9926 0 0.004761 neutral
1-139110 0 -1000 0.9981 0 0.00476 neutral
1-139651 0 -1000 0.9981 0 0.00476 neutral
1-140228 0.00010001 -3.9999 0.9969 1e-04 0.004762 neutral
1-140351 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-140364 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-140392 0 -1000 0.9981 0 0.00476 neutral
1-140515 0 -1000 0.9981 0 0.00476 neutral
1-140567 0 -1000 0.9981 0 0.00476 neutral
1-140771 0 -1000 0.9981 0 0.00476 neutral
1-140835 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-141084 0 -1000 0.9981 0 0.00476 neutral
1-141120 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-141625 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-141762 0 -1000 0.9981 0 0.00476 neutral
1-143413 0 -1000 0.9981 0 0.00476 neutral
1-145078 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-145213 0 -1000 0.9981 0 0.00476 neutral
1-145460 0.00020002 -3.6988 0.9926 1e-04 0.004761 neutral
1-145474 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-146626 0 -1000 0.9981 0 0.00476 neutral
1-146658 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-146677 0 -1000 0.9981 0 0.00476 neutral
1-146836 0.00020002 -3.6988 0.9926 1e-04 0.004762 neutral
1-147138 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-147375 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-147542 0 -1000 0.9981 0 0.00476 neutral
1-147735 0 -1000 0.9981 0 0.00476 neutral
1-147750 0 -1000 0.9981 0 0.00476 neutral
1-147761 0 -1000 0.9981 0 0.00476 neutral
1-148060 0.00020002 -3.6988 0.9926 0 0.00476 neutral
1-148105 0 -1000 0.9981 0 0.00476 neutral
1-148115 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-148243 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-148794 0 -1000 0.9981 0 0.00476 neutral
1-149240 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-149597 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-149623 0 -1000 0.9981 0 0.00476 neutral
1-149961 0 -1000 0.9981 0 0.00476 neutral
1-149975 0 -1000 0.9981 0 0.00476 neutral
1-149987 0 -1000 0.9981 0 0.00476 neutral
1-149996 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-150433 0 -1000 0.9981 0 0.00476 neutral
1-150470 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-150759 0 -1000 0.9981 0 0.00476 neutral
1-150916 0 -1000 0.9981 0 0.00476 neutral
1-151257 0 -1000 0.9981 0 0.00476 neutral
1-153011 0.00010001 -3.9999 0.9969 0 0.004761 neutral
1-153516 0 -1000 0.9981 0 0.00476 neutral
1-154598 0 -1000 0.9981 0 0.00476 neutral
1-154612 0 -1000 0.9981 0 0.00476 neutral
1-154670 0 -1000 0.9981 0 0.00476 neutral
1-155017 0 -1000 0.9981 0 0.00476 neutral
1-155018 0 -1000 0.9981 0 0.00476 neutral
1-155023 0 -1000 0.9981 0 0.00476 neutral
1-155187 0 -1000 0.9981 0 0.00476 neutral
1-155220 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-155261 0 -1000 0.9981 0 0.00476 neutral
1-155564 0 -1000 0.9981 0 0.00476 neutral
1-155579 0 -1000 0.9981 0 0.00476 neutral
1-155735 0 -1000 0.9981 0 0.00476 neutral
1-155757 0 -1000 0.9981 0 0.00476 neutral
1-155802 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-155803 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-155939 0.00010001 -3.9999 0.9969 0 0.00476 neutral
1-156177 0.00010001 -3.9999 0.9969 1e-04 0.004761 neutral
1-156205 0 -1000 0.9981 0 0.00476 neutral
1-156794 0 -1000 0.9981 0 0.00476 neutral
1-157172 0 -1000 0.9981 0 0.00476 neutral
1-157307 0 -1000 0.9981 0 0.00476 neutral
1-157310 0.00040004 -3.3977 0.9304 2e-04 0.004763 neutral
1-157440 0.00020002 -3.6988 0.9926 2e-04 0.004762 neutral
1-157698 0.00020002 -3.6988 0.9926 1e-04 0.004762 neutral
1-157943 0.00030003 -3.5227 0.9776 1e-04 0.004762 neutral
